Service,CabType,Source,Destination,Fare
Uber,Bike,Borivali,Vikhroli,564
Ola,Mini,Kurla,Kalyan,547
Uber,Prime,Kurla,Kalyan,557
Ola,Bike,Powai,Vasai,665
Uber,XL,Powai,Vasai,663
Ola,Prime,Mira Road,Borivali,479
Uber,XL,Mira Road,Borivali,451
Ola,Prime,Mumbai Central,Thane,503
Uber,XL,Mumbai Central,Thane,517
Ola,Prime,Panvel,Thane,260
Uber,Sedan,Panvel,Thane,275
Ola,XL,Nerul,Kalyan,647
Uber,Mini,Nerul,Kalyan,647
Ola,Bike,Dadar,Vikhroli,466
Uber,XL,Dadar,Vikhroli,434
Ola,Bike,Mumbai Central,Vasai,737
Uber,Auto,Mumbai Central,Vasai,712
Ola,Auto,Colaba,Powai,563
Uber,Mini,Colaba,Powai,611
Ola,XL,Mira Road,Chembur,263
Uber,Mini,Mira Road,Chembur,290
Ola,XL,Seawoods,Kalyan,700
Uber,Sedan,Seawoods,Kalyan,782
Ola,Prime,Chembur,Kurla,511
Uber,Bike,Chembur,Kurla,514
Ola,Prime,Powai,Ghatkopar,651
Uber,Mini,Powai,Ghatkopar,599
Ola,Mini,Powai,Seawoods,647
Uber,XL,Powai,Seawoods,630
Ola,Auto,Powai,Vasai,218
Uber,Sedan,Powai,Vasai,224
Ola,Bike,Nerul,Vasai,564
Uber,Sedan,Nerul,Vasai,560
Ola,Bike,Mulund,Mira Road,791
Uber,Sedan,Mulund,Mira Road,782
Ola,Bike,Chembur,Andheri,616
Uber,Bike,Chembur,Andheri,576
Ola,Mini,Andheri,Mira Road,703
Uber,Prime,Andheri,Mira Road,724
Ola,Mini,Mulund,Bandra,492
Uber,Prime,Mulund,Bandra,502
Ola,Mini,Bhiwandi,Ghatkopar,279
Uber,Auto,Bhiwandi,Ghatkopar,355
Ola,XL,Ghatkopar,Seawoods,662
Uber,Bike,Ghatkopar,Seawoods,609
Ola,Prime,Thane,Colaba,226
Uber,Mini,Thane,Colaba,244
Ola,Prime,Vasai,Nerul,633
Uber,Mini,Vasai,Nerul,607
Ola,Bike,Colaba,Dadar,382
Uber,Bike,Colaba,Dadar,400
Ola,Bike,Borivali,Bhiwandi,722
Uber,Sedan,Borivali,Bhiwandi,739
Ola,Sedan,Vasai,Borivali,575
Uber,Bike,Vasai,Borivali,521
Ola,Mini,Ghatkopar,Colaba,456
Uber,XL,Ghatkopar,Colaba,363
Ola,Auto,Andheri,Bhiwandi,735
Uber,Bike,Andheri,Bhiwandi,739
Ola,Prime,Dadar,Mumbai Central,424
Uber,Auto,Dadar,Mumbai Central,388
Ola,Mini,Ghatkopar,Nerul,538
Uber,Auto,Ghatkopar,Nerul,510
Ola,Prime,Kalyan,Dadar,759
Uber,Auto,Kalyan,Dadar,811
Ola,Sedan,Ghatkopar,Thane,650
Uber,Sedan,Ghatkopar,Thane,588
Ola,Mini,Thane,Dadar,259
Uber,Mini,Thane,Dadar,188
Ola,Mini,Thane,Mulund,360
Uber,Auto,Thane,Mulund,367
Ola,Bike,Mumbai Central,Ghatkopar,608
Uber,Auto,Mumbai Central,Ghatkopar,642
Ola,Prime,Nerul,Powai,661
Uber,Bike,Nerul,Powai,580
Ola,Prime,Kurla,Ghatkopar,363
Uber,Sedan,Kurla,Ghatkopar,340
Ola,XL,Mira Road,Andheri,491
Uber,Mini,Mira Road,Andheri,429
Ola,Sedan,Mumbai Central,Vikhroli,447
Uber,Prime,Mumbai Central,Vikhroli,536
Ola,Prime,Ghatkopar,Borivali,606
Uber,XL,Ghatkopar,Borivali,619
Ola,XL,Ghatkopar,Mulund,157
Uber,Sedan,Ghatkopar,Mulund,235
Ola,Sedan,Powai,Nerul,276
Uber,Auto,Powai,Nerul,209
Ola,Auto,Kalyan,Thane,450
Uber,Mini,Kalyan,Thane,394
Ola,XL,Ghatkopar,Mumbai Central,670
Uber,Sedan,Ghatkopar,Mumbai Central,708
Ola,Mini,Mira Road,Mumbai Central,608
Uber,Mini,Mira Road,Mumbai Central,633
Ola,Sedan,Panvel,Mira Road,616
Uber,Mini,Panvel,Mira Road,559
Ola,Prime,Kalyan,Ghatkopar,281
Uber,Mini,Kalyan,Ghatkopar,270
Ola,Mini,Mulund,Kalyan,234
Uber,XL,Mulund,Kalyan,261
Ola,Bike,Andheri,Vikhroli,505
Uber,Mini,Andheri,Vikhroli,523
Ola,XL,Dadar,Nerul,758
Uber,Bike,Dadar,Nerul,790
Ola,Prime,Thane,Nerul,509
Uber,Prime,Thane,Nerul,514
Ola,Sedan,Andheri,Vasai,625
Uber,Bike,Andheri,Vasai,551
Ola,Auto,Kalyan,Nerul,381
Uber,Mini,Kalyan,Nerul,442
Ola,Mini,Chembur,Mira Road,604
Uber,Bike,Chembur,Mira Road,672
Ola,Mini,Panvel,Vasai,230
Uber,Auto,Panvel,Vasai,189
Ola,XL,Mira Road,Dadar,521
Uber,Bike,Mira Road,Dadar,507
Ola,Bike,Bhiwandi,Panvel,511
Uber,XL,Bhiwandi,Panvel,591
Ola,Auto,Vikhroli,Powai,783
Uber,Auto,Vikhroli,Powai,724
Ola,Sedan,Seawoods,Mira Road,784
Uber,Bike,Seawoods,Mira Road,838
Ola,Prime,Vasai,Nerul,817
Uber,Prime,Vasai,Nerul,731
Ola,Mini,Dadar,Panvel,623
Uber,Mini,Dadar,Panvel,635
Ola,Sedan,Mira Road,Bandra,207
Uber,Mini,Mira Road,Bandra,190
Ola,Sedan,Chembur,Vikhroli,343
Uber,Prime,Chembur,Vikhroli,374
Ola,Auto,Nerul,Thane,330
Uber,Sedan,Nerul,Thane,346
Ola,Bike,Mumbai Central,Powai,383
Uber,XL,Mumbai Central,Powai,456
Ola,XL,Kurla,Chembur,482
Uber,XL,Kurla,Chembur,455
Ola,Prime,Bhiwandi,Kurla,341
Uber,XL,Bhiwandi,Kurla,381
Ola,Auto,Chembur,Panvel,447
Uber,Prime,Chembur,Panvel,388
Ola,Sedan,Borivali,Mulund,475
Uber,XL,Borivali,Mulund,472
Ola,Auto,Mira Road,Powai,762
Uber,XL,Mira Road,Powai,732
Ola,Mini,Panvel,Seawoods,216
Uber,Mini,Panvel,Seawoods,179
Ola,Sedan,Mira Road,Ghatkopar,590
Uber,Mini,Mira Road,Ghatkopar,596
Ola,XL,Kurla,Chembur,534
Uber,Prime,Kurla,Chembur,538
Ola,Mini,Kurla,Andheri,633
Uber,Prime,Kurla,Andheri,615
Ola,Bike,Powai,Borivali,239
Uber,Sedan,Powai,Borivali,228
Ola,Auto,Nerul,Panvel,818
Uber,XL,Nerul,Panvel,818
Ola,Bike,Mulund,Kalyan,314
Uber,XL,Mulund,Kalyan,312
Ola,Sedan,Mulund,Dadar,491
Uber,Sedan,Mulund,Dadar,402
Ola,Bike,Bhiwandi,Panvel,441
Uber,Prime,Bhiwandi,Panvel,478
Ola,Auto,Bandra,Vasai,397
Uber,Mini,Bandra,Vasai,357
Ola,Mini,Andheri,Seawoods,267
Uber,Mini,Andheri,Seawoods,180
Ola,XL,Mumbai Central,Vikhroli,248
Uber,Bike,Mumbai Central,Vikhroli,277
Ola,Prime,Ghatkopar,Mulund,639
Uber,Prime,Ghatkopar,Mulund,719
Ola,Prime,Mulund,Vasai,811
Uber,Auto,Mulund,Vasai,819
Ola,Bike,Mira Road,Andheri,479
Uber,Sedan,Mira Road,Andheri,492
Ola,Prime,Bandra,Colaba,734
Uber,Mini,Bandra,Colaba,758
Ola,Auto,Kurla,Vikhroli,255
Uber,Mini,Kurla,Vikhroli,197
Ola,Bike,Seawoods,Nerul,519
Uber,Auto,Seawoods,Nerul,443
Ola,Prime,Thane,Bandra,321
Uber,Prime,Thane,Bandra,286
Ola,Auto,Bhiwandi,Powai,649
Uber,Sedan,Bhiwandi,Powai,648
Ola,Prime,Vikhroli,Thane,733
Uber,Bike,Vikhroli,Thane,792
Ola,XL,Thane,Colaba,248
Uber,Prime,Thane,Colaba,220
Ola,Sedan,Mulund,Seawoods,215
Uber,Mini,Mulund,Seawoods,222
Ola,Auto,Andheri,Kalyan,555
Uber,Mini,Andheri,Kalyan,588
Ola,Prime,Andheri,Kalyan,800
Uber,Mini,Andheri,Kalyan,788
Ola,Mini,Mira Road,Mulund,648
Uber,Prime,Mira Road,Mulund,637
Ola,Auto,Vikhroli,Mumbai Central,581
Uber,Bike,Vikhroli,Mumbai Central,549
Ola,Bike,Bhiwandi,Vikhroli,691
Uber,Mini,Bhiwandi,Vikhroli,718
Ola,Bike,Powai,Vikhroli,575
Uber,Auto,Powai,Vikhroli,590
Ola,Prime,Kalyan,Bandra,368
Uber,Mini,Kalyan,Bandra,395
Ola,Sedan,Vikhroli,Chembur,657
Uber,Sedan,Vikhroli,Chembur,683
Ola,Prime,Mumbai Central,Kurla,667
Uber,Mini,Mumbai Central,Kurla,678
Ola,Prime,Borivali,Dadar,738
Uber,XL,Borivali,Dadar,743
Ola,Sedan,Andheri,Seawoods,274
Uber,XL,Andheri,Seawoods,308
Ola,Prime,Chembur,Thane,346
Uber,XL,Chembur,Thane,311
Ola,XL,Mira Road,Seawoods,731
Uber,XL,Mira Road,Seawoods,805
Ola,Prime,Vasai,Kalyan,719
Uber,XL,Vasai,Kalyan,731
Ola,Auto,Panvel,Bandra,417
Uber,XL,Panvel,Bandra,443
Ola,Sedan,Chembur,Borivali,238
Uber,Bike,Chembur,Borivali,222
Ola,Prime,Borivali,Dadar,255
Uber,Bike,Borivali,Dadar,210
Ola,Auto,Mira Road,Kurla,267
Uber,Auto,Mira Road,Kurla,246
Ola,Bike,Seawoods,Powai,817
Uber,Bike,Seawoods,Powai,809
Ola,Bike,Mumbai Central,Borivali,504
Uber,Auto,Mumbai Central,Borivali,453
Ola,Auto,Bhiwandi,Powai,401
Uber,XL,Bhiwandi,Powai,341
Ola,XL,Vasai,Thane,519
Uber,XL,Vasai,Thane,544
Ola,Sedan,Andheri,Bandra,183
Uber,Mini,Andheri,Bandra,206
Ola,Sedan,Panvel,Borivali,335
Uber,Auto,Panvel,Borivali,294
Ola,XL,Vasai,Ghatkopar,330
Uber,Prime,Vasai,Ghatkopar,346
Ola,Prime,Borivali,Vikhroli,675
Uber,Mini,Borivali,Vikhroli,596
Ola,Sedan,Mumbai Central,Mulund,269
Uber,Auto,Mumbai Central,Mulund,320
Ola,Auto,Nerul,Powai,602
Uber,Mini,Nerul,Powai,547
Ola,Bike,Seawoods,Bhiwandi,195
Uber,Sedan,Seawoods,Bhiwandi,183
Ola,Auto,Bhiwandi,Borivali,363
Uber,Auto,Bhiwandi,Borivali,401
Ola,XL,Mira Road,Nerul,803
Uber,Mini,Mira Road,Nerul,805
Ola,Sedan,Bhiwandi,Mira Road,517
Uber,XL,Bhiwandi,Mira Road,558
Ola,Sedan,Vikhroli,Dadar,616
Uber,XL,Vikhroli,Dadar,639
Ola,Auto,Mumbai Central,Nerul,325
Uber,Mini,Mumbai Central,Nerul,324
Ola,Bike,Ghatkopar,Powai,328
Uber,Bike,Ghatkopar,Powai,259
Ola,Bike,Vikhroli,Thane,761
Uber,Auto,Vikhroli,Thane,818
Ola,Mini,Ghatkopar,Kalyan,524
Uber,XL,Ghatkopar,Kalyan,553
Ola,XL,Nerul,Seawoods,820
Uber,Mini,Nerul,Seawoods,828
Ola,Sedan,Mira Road,Mumbai Central,206
Uber,Bike,Mira Road,Mumbai Central,183
Ola,Sedan,Borivali,Ghatkopar,312
Uber,Auto,Borivali,Ghatkopar,291
Ola,Auto,Mulund,Ghatkopar,287
Uber,Sedan,Mulund,Ghatkopar,297
Ola,Prime,Borivali,Mira Road,576
Uber,Bike,Borivali,Mira Road,499
Ola,Sedan,Ghatkopar,Thane,378
Uber,Auto,Ghatkopar,Thane,403
Ola,Mini,Nerul,Mira Road,359
Uber,Bike,Nerul,Mira Road,383
Ola,Sedan,Mulund,Mira Road,231
Uber,XL,Mulund,Mira Road,249
Ola,Prime,Mumbai Central,Borivali,186
Uber,Bike,Mumbai Central,Borivali,194
Ola,Prime,Mumbai Central,Panvel,711
Uber,Prime,Mumbai Central,Panvel,670
Ola,Bike,Kurla,Mulund,349
Uber,XL,Kurla,Mulund,301
Ola,XL,Thane,Panvel,735
Uber,Mini,Thane,Panvel,760
Ola,Prime,Borivali,Colaba,402
Uber,Mini,Borivali,Colaba,336
Ola,Mini,Powai,Mumbai Central,485
Uber,XL,Powai,Mumbai Central,441
Ola,XL,Mira Road,Bandra,269
Uber,Mini,Mira Road,Bandra,300
Ola,XL,Thane,Colaba,480
Uber,Auto,Thane,Colaba,511
Ola,XL,Thane,Bhiwandi,625
Uber,Sedan,Thane,Bhiwandi,626
Ola,Bike,Andheri,Colaba,177
Uber,Auto,Andheri,Colaba,219
Ola,XL,Mira Road,Kalyan,655
Uber,Auto,Mira Road,Kalyan,610
Ola,Sedan,Vasai,Mira Road,188
Uber,XL,Vasai,Mira Road,220
Ola,Mini,Chembur,Ghatkopar,316
Uber,Prime,Chembur,Ghatkopar,326
Ola,Bike,Vikhroli,Kurla,591
Uber,XL,Vikhroli,Kurla,564
Ola,XL,Bandra,Kalyan,749
Uber,Sedan,Bandra,Kalyan,807
Ola,Prime,Seawoods,Dadar,437
Uber,Auto,Seawoods,Dadar,443
Ola,Bike,Bandra,Thane,502
Uber,Sedan,Bandra,Thane,589
Ola,Mini,Nerul,Ghatkopar,739
Uber,XL,Nerul,Ghatkopar,700
Ola,Mini,Seawoods,Ghatkopar,301
Uber,Bike,Seawoods,Ghatkopar,328
Ola,Mini,Kurla,Seawoods,606
Uber,XL,Kurla,Seawoods,621
Ola,Prime,Thane,Mulund,725
Uber,Prime,Thane,Mulund,744
Ola,Sedan,Colaba,Bandra,199
Uber,Auto,Colaba,Bandra,219
Ola,Auto,Mumbai Central,Andheri,671
Uber,XL,Mumbai Central,Andheri,702
Ola,XL,Chembur,Vikhroli,398
Uber,Bike,Chembur,Vikhroli,393
Ola,Auto,Seawoods,Vasai,728
Uber,Prime,Seawoods,Vasai,715
Ola,Auto,Colaba,Nerul,291
Uber,Sedan,Colaba,Nerul,328
Ola,Auto,Ghatkopar,Kalyan,469
Uber,XL,Ghatkopar,Kalyan,449
Ola,Bike,Chembur,Andheri,577
Uber,XL,Chembur,Andheri,557
Ola,Auto,Dadar,Seawoods,419
Uber,Sedan,Dadar,Seawoods,339
Ola,Bike,Nerul,Bandra,719
Uber,Prime,Nerul,Bandra,762
Ola,Mini,Colaba,Mumbai Central,504
Uber,Sedan,Colaba,Mumbai Central,507
Ola,XL,Dadar,Borivali,717
Uber,Bike,Dadar,Borivali,644
Ola,Bike,Borivali,Thane,363
Uber,XL,Borivali,Thane,329
Ola,Sedan,Vikhroli,Colaba,543
Uber,Sedan,Vikhroli,Colaba,572
Ola,Auto,Andheri,Vasai,337
Uber,Auto,Andheri,Vasai,416
Ola,Prime,Nerul,Kurla,786
Uber,Mini,Nerul,Kurla,780
Ola,XL,Borivali,Nerul,665
Uber,Prime,Borivali,Nerul,619
Ola,Auto,Bhiwandi,Borivali,279
Uber,Prime,Bhiwandi,Borivali,335
Ola,Mini,Chembur,Dadar,584
Uber,XL,Chembur,Dadar,518
Ola,Prime,Ghatkopar,Vikhroli,207
Uber,Sedan,Ghatkopar,Vikhroli,251
Ola,Mini,Kalyan,Vikhroli,425
Uber,Mini,Kalyan,Vikhroli,381
Ola,Mini,Bhiwandi,Mira Road,266
Uber,Bike,Bhiwandi,Mira Road,281
Ola,Mini,Andheri,Nerul,656
Uber,XL,Andheri,Nerul,597
Ola,Prime,Powai,Kurla,688
Uber,Prime,Powai,Kurla,648
Ola,Bike,Dadar,Borivali,485
Uber,XL,Dadar,Borivali,416
Ola,Mini,Vikhroli,Mira Road,558
Uber,Sedan,Vikhroli,Mira Road,483
Ola,Bike,Kalyan,Andheri,322
Uber,Sedan,Kalyan,Andheri,395
Ola,Auto,Panvel,Nerul,725
Uber,Sedan,Panvel,Nerul,696
Ola,Prime,Andheri,Vasai,651
Uber,Bike,Andheri,Vasai,627
Ola,Auto,Chembur,Seawoods,527
Uber,Mini,Chembur,Seawoods,504
Ola,Prime,Vikhroli,Thane,836
Uber,Bike,Vikhroli,Thane,761
Ola,Prime,Thane,Mira Road,722
Uber,XL,Thane,Mira Road,764
Ola,Mini,Kalyan,Bandra,530
Uber,Bike,Kalyan,Bandra,601
Ola,XL,Panvel,Ghatkopar,515
Uber,Auto,Panvel,Ghatkopar,496
Ola,Sedan,Panvel,Kurla,287
Uber,Sedan,Panvel,Kurla,254
Ola,Bike,Bandra,Dadar,817
Uber,Mini,Bandra,Dadar,776
Ola,Prime,Kalyan,Mulund,297
Uber,Auto,Kalyan,Mulund,311
Ola,Prime,Vasai,Chembur,767
Uber,XL,Vasai,Chembur,771
Ola,XL,Borivali,Vikhroli,298
Uber,Bike,Borivali,Vikhroli,249
Ola,XL,Nerul,Seawoods,732
Uber,Auto,Nerul,Seawoods,760
Ola,Sedan,Kalyan,Dadar,648
Uber,Bike,Kalyan,Dadar,731
Ola,XL,Nerul,Mira Road,652
Uber,XL,Nerul,Mira Road,666
Ola,Auto,Mulund,Mira Road,328
Uber,Mini,Mulund,Mira Road,299
Ola,Bike,Vasai,Kurla,717
Uber,XL,Vasai,Kurla,707
Ola,Prime,Powai,Nerul,623
Uber,Mini,Powai,Nerul,700
Ola,Bike,Seawoods,Bandra,418
Uber,Prime,Seawoods,Bandra,392
Ola,Mini,Nerul,Dadar,520
Uber,Prime,Nerul,Dadar,454
Ola,Bike,Thane,Mira Road,516
Uber,Mini,Thane,Mira Road,548
Ola,Bike,Kurla,Mumbai Central,462
Uber,XL,Kurla,Mumbai Central,385
Ola,XL,Mira Road,Panvel,573
Uber,Bike,Mira Road,Panvel,578
Ola,Mini,Mulund,Colaba,421
Uber,Mini,Mulund,Colaba,370
Ola,Auto,Bhiwandi,Vikhroli,386
Uber,Prime,Bhiwandi,Vikhroli,387
Ola,XL,Mira Road,Seawoods,693
Uber,Sedan,Mira Road,Seawoods,727
Ola,Prime,Bandra,Mumbai Central,388
Uber,Mini,Bandra,Mumbai Central,378
Ola,Sedan,Ghatkopar,Vasai,429
Uber,Mini,Ghatkopar,Vasai,458
Ola,Sedan,Ghatkopar,Mira Road,621
Uber,Sedan,Ghatkopar,Mira Road,619
Ola,Bike,Colaba,Dadar,486
Uber,Prime,Colaba,Dadar,396
Ola,Prime,Powai,Andheri,776
Uber,Mini,Powai,Andheri,786
Ola,Sedan,Andheri,Nerul,546
Uber,Bike,Andheri,Nerul,482
Ola,Sedan,Andheri,Kurla,342
Uber,Prime,Andheri,Kurla,264
Ola,Mini,Kalyan,Mumbai Central,596
Uber,Sedan,Kalyan,Mumbai Central,521
Ola,Sedan,Powai,Colaba,634
Uber,XL,Powai,Colaba,573
Ola,Mini,Colaba,Kalyan,181
Uber,Auto,Colaba,Kalyan,176
Ola,Prime,Vikhroli,Borivali,524
Uber,Sedan,Vikhroli,Borivali,512
Ola,Bike,Bandra,Bhiwandi,229
Uber,Auto,Bandra,Bhiwandi,214
Ola,Bike,Kalyan,Thane,397
Uber,Bike,Kalyan,Thane,454
Ola,Prime,Bandra,Mulund,586
Uber,XL,Bandra,Mulund,597
Ola,Mini,Colaba,Dadar,313
Uber,Bike,Colaba,Dadar,258
Ola,Sedan,Thane,Mumbai Central,396
Uber,Prime,Thane,Mumbai Central,429
Ola,Mini,Colaba,Dadar,265
Uber,Bike,Colaba,Dadar,227
Ola,Mini,Mira Road,Ghatkopar,240
Uber,XL,Mira Road,Ghatkopar,211
Ola,Sedan,Vikhroli,Bhiwandi,492
Uber,Mini,Vikhroli,Bhiwandi,412
Ola,Sedan,Mira Road,Nerul,725
Uber,Sedan,Mira Road,Nerul,714
Ola,Sedan,Borivali,Kalyan,772
Uber,Prime,Borivali,Kalyan,823
Ola,Bike,Dadar,Mira Road,706
Uber,Bike,Dadar,Mira Road,711
Ola,Sedan,Ghatkopar,Mulund,784
Uber,Auto,Ghatkopar,Mulund,818
Ola,Mini,Mira Road,Kalyan,564
Uber,XL,Mira Road,Kalyan,619
Ola,Mini,Mulund,Seawoods,265
Uber,XL,Mulund,Seawoods,255
Ola,Mini,Seawoods,Bandra,757
Uber,Bike,Seawoods,Bandra,727
Ola,XL,Bandra,Vikhroli,652
Uber,Auto,Bandra,Vikhroli,671
Ola,XL,Kurla,Vikhroli,448
Uber,Sedan,Kurla,Vikhroli,391
Ola,Auto,Seawoods,Dadar,527
Uber,Mini,Seawoods,Dadar,446
Ola,Mini,Vikhroli,Bhiwandi,363
Uber,Sedan,Vikhroli,Bhiwandi,369
Ola,Auto,Vikhroli,Dadar,267
Uber,Prime,Vikhroli,Dadar,309
Ola,Mini,Borivali,Vasai,351
Uber,Sedan,Borivali,Vasai,439
Ola,Prime,Bhiwandi,Mumbai Central,663
Uber,Prime,Bhiwandi,Mumbai Central,591
Ola,Auto,Powai,Chembur,330
Uber,Mini,Powai,Chembur,289
Ola,Mini,Mulund,Nerul,550
Uber,Sedan,Mulund,Nerul,514
Ola,XL,Andheri,Bhiwandi,687
Uber,Sedan,Andheri,Bhiwandi,763
Ola,Sedan,Chembur,Dadar,582
Uber,XL,Chembur,Dadar,532
Ola,Sedan,Thane,Bandra,753
Uber,Sedan,Thane,Bandra,712
Ola,Auto,Bhiwandi,Kalyan,442
Uber,XL,Bhiwandi,Kalyan,375
Ola,Prime,Vikhroli,Nerul,310
Uber,XL,Vikhroli,Nerul,360
Ola,Prime,Powai,Vikhroli,736
Uber,Auto,Powai,Vikhroli,735
Ola,XL,Dadar,Borivali,697
Uber,XL,Dadar,Borivali,710
Ola,Sedan,Bandra,Kurla,738
Uber,Prime,Bandra,Kurla,751
Ola,Mini,Thane,Ghatkopar,536
Uber,XL,Thane,Ghatkopar,535
Ola,Auto,Borivali,Dadar,273
Uber,Mini,Borivali,Dadar,356
Ola,Sedan,Mira Road,Bhiwandi,808
Uber,Bike,Mira Road,Bhiwandi,795
Ola,Bike,Panvel,Bhiwandi,424
Uber,Mini,Panvel,Bhiwandi,397
Ola,Mini,Ghatkopar,Mira Road,300
Uber,Auto,Ghatkopar,Mira Road,215
Ola,Bike,Ghatkopar,Mira Road,672
Uber,Mini,Ghatkopar,Mira Road,716
Ola,Auto,Chembur,Bandra,312
Uber,Auto,Chembur,Bandra,259
Ola,Prime,Mira Road,Thane,185
Uber,Mini,Mira Road,Thane,216
Ola,Bike,Powai,Kurla,279
Uber,XL,Powai,Kurla,268
Ola,Sedan,Panvel,Chembur,569
Uber,Prime,Panvel,Chembur,547
Ola,Prime,Powai,Colaba,610
Uber,Mini,Powai,Colaba,661
Ola,Mini,Andheri,Panvel,708
Uber,Mini,Andheri,Panvel,782
Ola,Auto,Vasai,Nerul,383
Uber,XL,Vasai,Nerul,354
Ola,XL,Nerul,Bandra,573
Uber,Sedan,Nerul,Bandra,533
Ola,Bike,Andheri,Kurla,306
Uber,Auto,Andheri,Kurla,223
Ola,Prime,Mumbai Central,Andheri,587
Uber,Auto,Mumbai Central,Andheri,664
Ola,Sedan,Vikhroli,Colaba,546
Uber,XL,Vikhroli,Colaba,527
Ola,Bike,Dadar,Nerul,324
Uber,XL,Dadar,Nerul,395
Ola,Bike,Vasai,Mira Road,686
Uber,Auto,Vasai,Mira Road,627
Ola,Sedan,Bandra,Dadar,712
Uber,Sedan,Bandra,Dadar,774
Ola,Bike,Powai,Vasai,250
Uber,Prime,Powai,Vasai,201
Ola,Prime,Colaba,Dadar,338
Uber,Bike,Colaba,Dadar,272
Ola,Prime,Bandra,Mulund,261
Uber,Prime,Bandra,Mulund,271
Ola,Mini,Mira Road,Panvel,586
Uber,Mini,Mira Road,Panvel,554
Ola,Mini,Kurla,Nerul,472
Uber,Sedan,Kurla,Nerul,535
Ola,Sedan,Mira Road,Mulund,670
Uber,Mini,Mira Road,Mulund,677
Ola,XL,Kurla,Mumbai Central,404
Uber,Sedan,Kurla,Mumbai Central,434
Ola,Bike,Borivali,Kalyan,556
Uber,Mini,Borivali,Kalyan,561
Ola,Bike,Andheri,Bandra,323
Uber,Bike,Andheri,Bandra,277
Ola,Bike,Bandra,Kurla,657
Uber,Sedan,Bandra,Kurla,652
Ola,Sedan,Mira Road,Vasai,607
Uber,Sedan,Mira Road,Vasai,581
Ola,XL,Dadar,Bandra,175
Uber,Sedan,Dadar,Bandra,204
Ola,Sedan,Mumbai Central,Vasai,697
Uber,Sedan,Mumbai Central,Vasai,747
Ola,XL,Bhiwandi,Bandra,686
Uber,Bike,Bhiwandi,Bandra,684
Ola,Auto,Chembur,Vasai,766
Uber,Mini,Chembur,Vasai,802
Ola,Prime,Ghatkopar,Powai,649
Uber,XL,Ghatkopar,Powai,599
Ola,Mini,Kalyan,Kurla,547
Uber,XL,Kalyan,Kurla,534
Ola,Prime,Mira Road,Colaba,706
Uber,Prime,Mira Road,Colaba,640
Ola,Mini,Seawoods,Nerul,349
Uber,Sedan,Seawoods,Nerul,399
Ola,Bike,Vikhroli,Bhiwandi,562
Uber,Mini,Vikhroli,Bhiwandi,558
Ola,Bike,Chembur,Bhiwandi,464
Uber,Prime,Chembur,Bhiwandi,437
Ola,Auto,Andheri,Vikhroli,338
Uber,Bike,Andheri,Vikhroli,375
Ola,XL,Kurla,Colaba,804
Uber,XL,Kurla,Colaba,735
Ola,Bike,Nerul,Ghatkopar,386
Uber,XL,Nerul,Ghatkopar,404
Ola,Mini,Borivali,Vasai,805
Uber,Mini,Borivali,Vasai,774
Ola,Mini,Mulund,Kurla,767
Uber,Prime,Mulund,Kurla,816
Ola,Auto,Panvel,Kurla,764
Uber,Auto,Panvel,Kurla,773
Ola,Prime,Chembur,Panvel,687
Uber,Prime,Chembur,Panvel,763
Ola,Prime,Thane,Andheri,258
Uber,Prime,Thane,Andheri,251
Ola,Bike,Ghatkopar,Powai,301
Uber,Prime,Ghatkopar,Powai,306
Ola,Bike,Vasai,Seawoods,201
Uber,Mini,Vasai,Seawoods,189
Ola,Bike,Vasai,Panvel,621
Uber,Prime,Vasai,Panvel,669
Ola,Mini,Panvel,Borivali,523
Uber,Auto,Panvel,Borivali,436
Ola,XL,Seawoods,Dadar,775
Uber,XL,Seawoods,Dadar,750
Ola,Mini,Nerul,Ghatkopar,305
Uber,Prime,Nerul,Ghatkopar,292
Ola,XL,Powai,Dadar,195
Uber,Prime,Powai,Dadar,232
Ola,Sedan,Thane,Seawoods,710
Uber,Mini,Thane,Seawoods,739
Ola,XL,Kalyan,Borivali,391
Uber,Prime,Kalyan,Borivali,352
Ola,Mini,Andheri,Colaba,833
Uber,XL,Andheri,Colaba,791
Ola,Bike,Nerul,Kurla,727
Uber,Mini,Nerul,Kurla,652
Ola,Prime,Panvel,Nerul,318
Uber,XL,Panvel,Nerul,396
Ola,XL,Chembur,Borivali,211
Uber,Bike,Chembur,Borivali,269
Ola,Prime,Andheri,Bandra,823
Uber,Bike,Andheri,Bandra,834
Ola,XL,Chembur,Panvel,461
Uber,Auto,Chembur,Panvel,442
Ola,Mini,Mulund,Bhiwandi,737
Uber,Sedan,Mulund,Bhiwandi,719
Ola,XL,Mumbai Central,Vikhroli,406
Uber,Auto,Mumbai Central,Vikhroli,487
Ola,Prime,Mulund,Colaba,753
Uber,Mini,Mulund,Colaba,755
Ola,Sedan,Mumbai Central,Bandra,691
Uber,Bike,Mumbai Central,Bandra,778
Ola,Sedan,Andheri,Seawoods,323
Uber,XL,Andheri,Seawoods,313
Ola,XL,Kalyan,Mira Road,727
Uber,Auto,Kalyan,Mira Road,811
Ola,Prime,Bhiwandi,Vasai,689
Uber,Bike,Bhiwandi,Vasai,661
Ola,Mini,Mulund,Mira Road,453
Uber,Auto,Mulund,Mira Road,499
Ola,Mini,Nerul,Colaba,681
Uber,Prime,Nerul,Colaba,727
Ola,Auto,Bhiwandi,Nerul,322
